id;start_time;end_time;availability
1;2024-05-09T23:07:07;2024-05-09T20:42:06;false
2;2024-05-10T10:53:14;2024-05-10T15:48:26;false
3;2024-05-10T00:55:39;2024-05-10T10:53:57;false
4;2024-05-10T09:18:23;2024-05-10T02:41:26;true
5;2024-05-09T23:33:28;2024-05-10T04:46:14;true
6;2024-05-10T17:32:54;2024-05-10T02:01:41;false
7;2024-05-10T14:01:17;2024-05-10T02:31:02;false
8;2024-05-10T00:24:36;2024-05-10T06:12:10;true
9;2024-05-10T14:56:49;2024-05-10T14:06:24;true
10;2024-05-10T07:37:26;2024-05-10T12:01:13;true
